time,gold,towers,kills,blue_team,red_team,kda_top,kda_jungle,kda_mid,kda_adc,kda_supp,minions_top,minions_jungle,minions_mid,minions_adc,minions_supp,hextech_dragon,infernal_dragon,mountain_dragon,ocean_dragon,wind_dragon,baron,elder,herald,champion_red_top,champion_red_jungle,champion_red_mid,champion_red_adc,champion_red_supp,champion_blue_top,champion_blue_jungle,champion_blue_mid,champion_blue_adc,champion_blue_supp
00:07:26,-4000.0,0.0,-1.0,SK Gaming,Excel Esports,-2.0,,-1.0,1.0,1.0,-5.0,-2.0,10.0,13.0,-1.0,0,0,0,0,0,1,1,0,Ornn,Volibear,Orianna,Xayah,Janna,Sylas,Poppy,Sylas,Kalista,Tahm Kench
00:04:47,7300.0,0.0,0.0,SK Gaming,,0.0,0.0,0.0,0.0,0.0,12.0,4.0,1.0,-10.0,3.0,0,0,0,0,0,1,1,0,Sett,Ivern,Sylas,Aphelios,Amumu,Gnar,Ivern,Azir,Zeri,Tahm Kench
00:10:26,0.0,0.0,,,,0.0,-2.0,-1.0,-1.0,-1.0,17.0,-2.0,5.0,12.0,1.0,0,0,0,0,0,1,1,0,Gnar,Diana,Sylas,Aphelios,Zilean,Ornn,Wukong,Sylas,Zeri,Rakan
00:03:46,5100.0,0.0,-1.0,Astralis,Team BDS,,,0.0,-1.0,0.0,2.0,4.0,2.0,5.0,-2.0,0,0,0,0,0,1,1,0,Gwen,Volibear,Sylas,MissFortune,Amumu,Ornn,Viego,Viktor,Zeri,Tahm Kench
00:06:00,300.0,0.0,0.0,SK Gaming,Astralis,-1.0,,0.0,1.0,1.0,-34.0,13.0,-10.0,7.0,-14.0,0,0,0,0,0,1,1,0,Gangplank,Viego,Orianna,Jinx,Tahm Kench,Gwen,Karthus,Akshan,Aphelios,Tahm Kench
00:10:22,400.0,0.0,,Misfits Gaming,Astralis,2.0,0.0,17.0,1.0,0.0,76.0,-10.0,9.0,-36.0,-3.0,0,0,0,0,0,1,1,1,Gnar,Viego,Orianna,Draven,Pyke,Sylas,Lillia,Twisted Fate,Twitch,Leona
00:10:17,,0.0,-1.0,Astralis,Team Vitality,0.0,-11.0,-1.0,0.0,-1.0,-14.0,-47.0,-83.0,-6.0,-2.0,0,0,0,0,0,1,1,-1,Gnar,Ivern,Twisted Fate,Zeri,Rakan,Ornn,Trundle,Sylas,Xayah,Tahm Kench
00:20:00,1600.0,2.0,0.0,Rogue,Team BDS,2.0,-1.5,,,2.0,-5.0,-44.0,12.0,49.0,-3.0,0,0,0,0,0,1,1,0,Akali,Taliyah,Twisted Fate,Xayah,Amumu,Gwen,Trundle,Sylas,Kalista,Alistar
00:05:33,500.0,0.0,2.0,,Astralis,,,,,,,,,,3.0,0,0,0,0,0,1,1,0,Poppy,Viego,Sylas,Ezreal,Maokai,Ornn,Trundle,Azir,Zeri,Tahm Kench
00:08:24,-900.0,0.0,0.0,SK Gaming,Astralis,0.0,0.0,0.0,1.0,0.0,35.0,-6.0,-4.0,-5.0,10.0,0,0,0,0,0,1,1,0,Wukong,Fiddlesticks,Akshan,Akshan,Renata Glasc,Gangplank,Qiyana,Orianna,Varus,Tahm Kench
00:03:47,5520.0,0.0,1.0,Misfits Gaming,,0.0,,0.0,1.0,1.0,-4.0,-8.0,2.0,0.0,,0,0,0,0,0,1,1,0,Gangplank,Volibear,Syndra,Ezreal,Maokai,Ornn,Wukong,Twisted Fate,Xayah,Nautilus
,-6300.0,0.0,1.0,Excel Esports,Team BDS,1.0,,1.0,0.0,,12.0,3.0,9.0,-2.0,0.0,0,0,0,0,0,0,1,0,Sylas,Camille,Katarina,Ezreal,Maokai,Sion,Wukong,Lissandra,Lucian,Nami
00:05:47,-100.0,0.0,0.0,Astralis,Excel Esports,0.0,0.0,0.0,0.0,0.0,-5.0,-1.0,-10.0,6.0,,0,0,0,0,0,1,1,0,Gnar,Udyr,Lissandra,Kalista,Shen,Ornn,Wukong,Anivia,Ashe,Renata Glasc
